0	1
ㄱ	5
ㄴ	4
ㄷ	3
ㄹ	2
ㅁ	1
ㅂ	2
ㅅ	5
ㅈ	5
ㅣ	1
가능	12
가량	1
가방	1
가요	3
가입	5
가족	1
가죽	1
각성	1
각인	3
각종	1
감사	1
강	1
강제	2
강추	1
강화	5
개	11
개꿀	3
개똥	1
개발	1
개발자	1
개선	8
개속	1
개인	4
개임	1
개정	1
개지	1
개판	4
갠	1
갤럭시	1
갬	1
거기	1
거대	1
거래	1
거림	1
거지	2
건	2
검사	1
검색	1
겉	2
게스트	2
게이밍	1
게임	150
게임즈	1
겜	47
겨	4
결과	2
결국	4
결말	1
결제	7
경매장	1
경우	5
경험	1
경험치	1
곁	1
계속	1
계열	1
계정	23
고객	2
고급	1
고민	1
고생	3
고요	1
고질	1
골드만	1
곳	2
공	1
공간	2
공감	1
공격	2
공유	3
공중	1
과금	75
과정	1
관리	2
관리자	1
관심	1
광고	1
광범위	1
괘	1
교대근무	1
구경	1
구글	2
구래	1
구매	2
구분	1
구실	1
구여	1
구요	1
구이	1
국	1
굳	10
굴	1
굿	55
굿모닝	1
궁수	1
규모	1
그	3
그거	2
그것	1
그래픽	14
극악	7
근무	1
글	6
금	1
기	2
기가	3
기기	2
기능	1
기대	2
기록	1
기면	1
기본	4
기분	2
기존	2
기준	1
긴급	1
긴말	1
길드	3
김	1
깡패	1
꿀	8
끝	4
나	19
나라	1
나머지	1
날	1
남	6
남편	1
내	10
내요	3
내용	1
내장	1
냉무	1
너	2
너부	2
네트워크	2
노	4
노가다	3
노트북	2
뉴	1
뉴비	1
느	1
느낌	1
능력	2
늬	1
니	2
님	1
다수	1
다야	4
다운	4
다운로드	6
다음	10
다이아	7
다행	1
단계	1
단순	1
달	3
달성	1
답	4
답변	6
답장	1
당신	1
대기	2
대다수	1
대박	1
대비	1
대우	1
대조	1
대체	1
댐	1
덕분	2
던전	8
덤	2
데이터	2
데이트	1
도감	1
도박	2
도용	2
독설	1
돈	17
돈독	1
돌리	1
동내	1
동네	1
동도	1
동물	1
동반	1
동안	2
동영상	2
뒤	3
드	4
드롭	1
드립	1
득템	2
듬	2
등급	1
디	1
딘	2
따구	1
때	19
똥구멍	1
뚱	1
뜸	2
뜻	1
띠	1
라이징	1
라이트	1
라인	2
랍	5
랙	1
랩	1
랭	1
랭킹	1
러시	1
런	1
레벨	8
렙	5
렙업	2
려고	1
로그인	19
롤플레잉	1
롱	1
룬	1
리니	2
리니지	17
리뷰	8
리세	6
리얼	1
린지	1
림	1
링	1
마다	1
마라	2
마을	9
마음	4
마이너스	1
마카	1
마켓	1
만족	2
말	9
맘	3
맛	4
망	5
맞음	2
매너	2
매도	1
매주	1
매칭	2
매크로	2
맥북	2
맨	1
머	1
머들	1
먹	1
먹통	1
메가	1
메모리	2
메일	1
멘탈	1
명목	2
모드	9
모바일	6
모바일게임	3
모션	1
모야	1
모양	1
모험	1
목록	1
몬스터	4
몸주	1
몹	2
뫼비우스	1
무능력자	1
무분별	1
무소	4
무엇	1
무지	1
무한	1
문	2
문구	1
문의	1
문제	4
물	1
물약	2
뭐	9
미션	2
밋	14
밑	2
바	1
바닥	1
바람	2
바래	1
바램	1
박스	1
밖	2
반	1
반복	9
반타작	1
발생	1
발언	1
발전	1
발할라	2
밤	1
방법	4
방송	1
방어구	1
방치	4
배	1
배신감	1
배터리	1
뱜	1
버	1
버그	7
버러지	1
버전	1
버튼	4
번창	1
번호	4
범위	5
법	1
베	1
베리	1
벤	2
벽	1
변경	1
변신	2
변질	1
별	3
병	1
병신	2
보급	2
보네	1
보단	1
보살	1
보상	3
보스	13
보안	4
보통	1
보호	12
보호조	2
복	1
복구	2
복귀	2
본인	5
봄	2
부과금	1
부담	1
부분	2
부족	6
부탁	8
부팅	1
북강	1
분리	1
불가	6
불법	1
불편	3
브	1
브롤	2
블릿	1
비교	1
비밀	1
비번	3
비자카드	1
비추	1
비하	1
빌란트	7
사거리	1
사내	1
